rule_id,category,requirement,mandatory_level,competition_stage,track_scope,source_title,source_organization,source_type,official_url,publication_date,effective_date,retrieved_date,version,exact_evidence,interpretation,project_impact,confidence,status
R034,open_source,"不要求 GitHub/Gitee 或公开仓库；开源代码仅是允许引用对象，完整代码通过提交链接提供",OPTIONAL,submission,"AI+能源—科技创新组","AI+能源竞赛规则及作品提交要求-科技创新组","全球校园人工智能算法精英大赛组委会",official_pdf,https://www.aicomp.cn/wp-content/uploads/2026/07/%E9%99%84%E4%BB%B61AIC%C2%B7AI%E8%83%BD%E6%BA%90%E7%AB%9E%E8%B5%9B%E8%A7%84%E5%88%99%E5%8F%8A%E4%BD%9C%E5%93%81%E6%8F%90%E4%BA%A4%E8%A6%81%E6%B1%82-%E7%A7%91%E6%8A%80%E5%88%9B%E6%96%B0%E7%BB%84.pdf,2026-07,2026-07,2026-09-01,"附件1","若引用开源算法……；将代码/模型/系统原型……上传至百度网盘","提交源码不等于公开开源","OPEN_SOURCE verdict=NOT REQUIRED；是否允许公开赛后代码未明示",HIGH,VERIFIED
R035,ip,"作品著作权归参赛团队；主办单位有展览、出版、发行及公益科普使用权",REQUIRED,all,all,"全球校园人工智能算法精英大赛章程（试行）","全球校园人工智能算法精英大赛组委会",official_web,https://www.aicomp.cn/bylaws,2026-03-27,2026-03-27,2026-09-01,"20230321—20260327修订稿","作品的著作权归参赛团队所有，大赛主办单位有权对相关作品进行展览、出版、发行以及在其他公益科普活动中使用","不要求专利/软著；未说明后续发表限制","Phase 15 在授权边界内决定 LICENSE，不能假定公开许可",HIGH,VERIFIED
R036,ip,"不得侵犯第三方专利、著作权、商标、肖像、名誉、隐私等；未提前保护导致损害由团队承担",PROHIBITED,all,all,"全球校园人工智能算法精英大赛章程（试行）","全球校园人工智能算法精英大赛组委会",official_web,https://www.aicomp.cn/bylaws,2026-03-27,2026-03-27,2026-09-01,"20230321—20260327修订稿","作品不得侵犯第三方……合法权益；未在申报前申请知识产权保护而造成的损害……自行承担","许可证清单不是明文交付物，但合规审计必要","Phase 15 审核依赖与数据许可",HIGH,VERIFIED
R037,ai_assistance,"AI+能源科技创新组将利用 AI 工具链提升开发效率、模拟一人主导全栈开发列为加分项",OPTIONAL,all,"AI+能源—科技创新组","AI+能源竞赛规则及作品提交要求-科技创新组","全球校园人工智能算法精英大赛组委会",official_pdf,https://www.aicomp.cn/wp-content/uploads/2026/07/%E9%99%84%E4%BB%B61AIC%C2%B7AI%E8%83%BD%E6%BA%90%E7%AB%9E%E8%B5%9B%E8%A7%84%E5%88%99%E5%8F%8A%E4%BD%9C%E5%93%81%E6%8F%90%E4%BA%A4%E8%A6%81%E6%B1%82-%E7%A7%91%E6%8A%80%E5%88%9B%E6%96%B0%E7%BB%84.pdf,2026-07,2026-07,2026-09-01,"附件1","若能体现利用AI工具链提升开发效率……将作为评审加分项","明确允许展示 AI 工具链使用，但未点名 ChatGPT/Codex/Copilot，也未给披露格式","AI assistance verdict=PARTIAL；保留工具使用记录，待官方澄清披露要求",HIGH,PARTIALLY_VERIFIED
R038,ai_assistance,"ChatGPT/Codex/Copilot 的使用范围、披露义务、生成代码归属规则未找到权威条款",UNKNOWN,all,all,"2026 本届官方来源检索","全球校园人工智能算法精英大赛组委会",official_search,https://www.aicomp.cn,2026,2026,2026-09-01,"searched through 2026-09-01","NO AUTHORITATIVE RULE FOUND","原创性义务仍适用，但不能据此推断具体工具政策","Phase 15 前向组委会书面确认并留存答复",MEDIUM,UNKNOWN
R039,scoring,"AI+能源：问题聚焦与创新价值 20 分",REQUIRED,review,"AI+能源—科技创新组","AI+能源竞赛规则及作品提交要求-科技创新组","全球校园人工智能算法精英大赛组委会",official_pdf,https://www.aicomp.cn/wp-content/uploads/2026/07/%E9%99%84%E4%BB%B61AIC%C2%B7AI%E8%83%BD%E6%BA%90%E7%AB%9E%E8%B5%9B%E8%A7%84%E5%88%99%E5%8F%8A%E4%BD%9C%E5%93%81%E6%8F%90%E4%BA%A4%E8%A6%81%E6%B1%82-%E7%A7%91%E6%8A%80%E5%88%9B%E6%96%B0%E7%BB%84.pdf,2026-07,2026-07,2026-09-01,"附件1","问题聚焦与创新价值（20分）","权重 20%", "Phase 12 聚焦能源痛点与原创边界",HIGH,VERIFIED
R040,scoring,"AI+能源：需求洞察与背景分析 10 分",REQUIRED,review,"AI+能源—科技创新组","AI+能源竞赛规则及作品提交要求-科技创新组","全球校园人工智能算法精英大赛组委会",official_pdf,https://www.aicomp.cn/wp-content/uploads/2026/07/%E9%99%84%E4%BB%B61AIC%C2%B7AI%E8%83%BD%E6%BA%90%E7%AB%9E%E8%B5%9B%E8%A7%84%E5%88%99%E5%8F%8A%E4%BD%9C%E5%93%81%E6%8F%90%E4%BA%A4%E8%A6%81%E6%B1%82-%E7%A7%91%E6%8A%80%E5%88%9B%E6%96%B0%E7%BB%84.pdf,2026-07,2026-07,2026-09-01,"附件1","需求洞察与背景分析（10分）","权重 10%", "Phase 12 需要文献/技术综述和可靠数据来源",HIGH,VERIFIED
R041,scoring,"AI+能源：技术深度与框架构建 25 分",REQUIRED,review,"AI+能源—科技创新组","AI+能源竞赛规则及作品提交要求-科技创新组","全球校园人工智能算法精英大赛组委会",official_pdf,https://www.aicomp.cn/wp-content/uploads/2026/07/%E9%99%84%E4%BB%B61AIC%C2%B7AI%E8%83%BD%E6%BA%90%E7%AB%9E%E8%B5%9B%E8%A7%84%E5%88%99%E5%8F%8A%E4%BD%9C%E5%93%81%E6%8F%90%E4%BA%A4%E8%A6%81%E6%B1%82-%E7%A7%91%E6%8A%80%E5%88%9B%E6%96%B0%E7%BB%84.pdf,2026-07,2026-07,2026-09-01,"附件1","技术深度与框架构建（25分）","权重 25%", "Phase 13 突出算法适配、系统架构、代码规范",HIGH,VERIFIED
R042,scoring,"AI+能源：实验验证与结果分析 25 分",REQUIRED,review,"AI+能源—科技创新组","AI+能源竞赛规则及作品提交要求-科技创新组","全球校园人工智能算法精英大赛组委会",official_pdf,https://www.aicomp.cn/wp-content/uploads/2026/07/%E9%99%84%E4%BB%B61AIC%C2%B7AI%E8%83%BD%E6%BA%90%E7%AB%9E%E8%B5%9B%E8%A7%84%E5%88%99%E5%8F%8A%E4%BD%9C%E5%93%81%E6%8F%90%E4%BA%A4%E8%A6%81%E6%B1%82-%E7%A7%91%E6%8A%80%E5%88%9B%E6%96%B0%E7%BB%84.pdf,2026-07,2026-07,2026-09-01,"附件1","实验验证与结果分析（25分）","权重 25%", "Phase 13 使用冻结对比/敏感性/约束/统计结果，不重算",HIGH,VERIFIED
R043,scoring,"AI+能源：应用价值与推广潜力 10 分",REQUIRED,review,"AI+能源—科技创新组","AI+能源竞赛规则及作品提交要求-科技创新组","全球校园人工智能算法精英大赛组委会",official_pdf,https://www.aicomp.cn/wp-content/uploads/2026/07/%E9%99%84%E4%BB%B61AIC%C2%B7AI%E8%83%BD%E6%BA%90%E7%AB%9E%E8%B5%9B%E8%A7%84%E5%88%99%E5%8F%8A%E4%BD%9C%E5%93%81%E6%8F%90%E4%BA%A4%E8%A6%81%E6%B1%82-%E7%A7%91%E6%8A%80%E5%88%9B%E6%96%B0%E7%BB%84.pdf,2026-07,2026-07,2026-09-01,"附件1","应用价值与推广潜力（10分）","权重 10%", "不得把削峰仿真冒充已实现节能/降本收益",HIGH,VERIFIED
R044,scoring,"AI+能源：反思局限与未来展望 10 分",REQUIRED,review,"AI+能源—科技创新组","AI+能源竞赛规则及作品提交要求-科技创新组","全球校园人工智能算法精英大赛组委会",official_pdf,https://www.aicomp.cn/wp-content/uploads/2026/07/%E9%99%84%E4%BB%B61AIC%C2%B7AI%E8%83%BD%E6%BA%90%E7%AB%9E%E8%B5%9B%E8%A7%84%E5%88%99%E5%8F%8A%E4%BD%9C%E5%93%81%E6%8F%90%E4%BA%A4%E8%A6%81%E6%B1%82-%E7%A7%91%E6%8A%80%E5%88%9B%E6%96%B0%E7%BB%84.pdf,2026-07,2026-07,2026-09-01,"附件1","反思局限与未来展望（10分）","权重 10%", "Phase 12-13 必须保留局限、伦理、未来工作",HIGH,VERIFIED
R045,hardware,"未规定 CPU/GPU、联网、运行时间、硬件或程序包总大小限制",UNKNOWN,all,"AI+能源—科技创新组","本届官方来源核验","全球校园人工智能算法精英大赛组委会",official_search,https://www.aicomp.cn/tracks/4726.html,2026,2026,2026-09-01,"searched through 2026-09-01","NO AUTHORITATIVE RULE FOUND","视频和报告有大小限制，代码包/运行资源没有","Phase 15 仍应低成本复现，但不可声称官方硬件限制",MEDIUM,UNKNOWN
R046,submission,"压缩格式、文件总数、PPT大小、视频分辨率、上传覆盖机制未公布",UNKNOWN,submission,"AI+能源—科技创新组","本届官方来源核验","全球校园人工智能算法精英大赛组委会",official_search,https://www.aicomp.cn/tracks/4726.html,2026,2026,2026-09-01,"searched through 2026-09-01","NO AUTHORITATIVE RULE FOUND","仅已知报告≤10M、视频≤300MB、网盘命名和永久链接","Phase 15 近截止日前复核报名系统字段",MEDIUM,UNKNOWN
R047,video,"视频分辨率、横竖屏、配音、字幕、剪辑、真人出镜、第三方公开平台要求未公布",UNKNOWN,submission,"AI+能源—科技创新组","本届官方来源核验","全球校园人工智能算法精英大赛组委会",official_search,https://www.aicomp.cn/tracks/4726.html,2026,2026,2026-09-01,"searched through 2026-09-01","NO AUTHORITATIVE RULE FOUND","唯一第三方载体要求是百度网盘材料链接，不是公开视频平台","Phase 14 不自行添加硬要求",MEDIUM,UNKNOWN
R048,ppt,"PPT页数、模板、大小、提前提交的独立截止未公布",UNKNOWN,submission,"AI+能源—科技创新组","本届官方来源核验","全球校园人工智能算法精英大赛组委会",official_search,https://www.aicomp.cn/tracks/4726.html,2026,2026,2026-09-01,"searched through 2026-09-01","NO AUTHORITATIVE RULE FOUND","初赛总提交截止适用；总决赛前可完善并再次提交但日期待通知","Phase 14 等决赛通知补核验",MEDIUM,UNKNOWN
R049,defense,"指定主讲人、每人发言、播放视频、现场网络/设备条件未公布",UNKNOWN,final,"AI+能源—科技创新组","本届官方来源核验","全球校园人工智能算法精英大赛组委会",official_search,https://www.aicomp.cn/tracks/4726.html,2026,2026,2026-09-01,"searched through 2026-09-01","NO AUTHORITATIVE RULE FOUND","仅确认线下、全员原则到场、8+5 分钟","Phase 14 准备离线备份并等待通知，但不当作官方要求",MEDIUM,UNKNOWN
R050,open_source,"LICENSE 文件、依赖许可证清单、软件著作权、专利、公开代码与后续发表规则未被强制规定",UNKNOWN,submission,"AI+能源—科技创新组","本届官方来源核验","全球校园人工智能算法精英大赛组委会",official_search,https://www.aicomp.cn/tracks/4726.html,2026,2026,2026-09-01,"searched through 2026-09-01","NO AUTHORITATIVE RULE FOUND","第三方授权合规是硬要求，但具体交付形式未指定","Phase 15 基于合规最小集决定，不写成官方硬要求",MEDIUM,UNKNOWN
R051,scoring,"备选算法模型创新评分：创新性20、技术实现难度20、实验验证20、方案完整性20、应用价值15、总结与展望5",REQUIRED,review,"算法创新赛—算法模型创新","2026AIC算法创新赛赛题规则汇总","全球校园人工智能算法精英大赛组委会",official_pdf,https://www.aicomp.cn/wp-content/uploads/2026/05/2026AIC%E7%AE%97%E6%B3%95%E5%88%9B%E6%96%B0%E8%B5%9B%E8%B5%9B%E9%A2%98%E8%A7%84%E5%88%99%E6%B1%87%E6%80%BB260506-1.pdf,2026-05-06,2026-05-06,2026-09-01,"260506","算法模型创新-评分规则（总分100）","仅当报名赛题确认为算法模型创新时适用","不能与 AI+能源 20/10/25/25/10/10 权重混用",HIGH,VERIFIED
R052,submission,"备选算法创新赛通用材料为方案PDF≤10M、3-5分钟MP4≤300MB、PPT PDF、佐证PDF与永久网盘链接",REQUIRED,submission,"算法创新赛—7题通用","2026AIC算法创新赛赛题规则汇总","全球校园人工智能算法精英大赛组委会",official_pdf,https://www.aicomp.cn/wp-content/uploads/2026/05/2026AIC%E7%AE%97%E6%B3%95%E5%88%9B%E6%96%B0%E8%B5%9B%E8%B5%9B%E9%A2%98%E8%A7%84%E5%88%99%E6%B1%87%E6%80%BB260506-1.pdf,2026-05-06,2026-05-06,2026-09-01,"260506","作品材料包括……作品方案、演示视频、答辩PPT、佐证材料、作品其他材料链接","与 AI+能源多数格式相同，但不是实际赛道证明","若人工确认备选赛题则采用",HIGH,VERIFIED
R053,report,"已排除赛题的技术方案要求：问题定义、算法设计、数学推导、实验验证、真实数据和对比分析",REQUIRED,submission,"NOT APPLICABLE—算法创新赛—算法模型创新","算法模型创新赛题规则","全球校园人工智能算法精英大赛组委会",official_web,https://www.aicomp.cn/tracks/tracks-2/3788.html,2026-05-06,2026-05-06,2026-09-01,"2026-05-06","提交材料需包含完整的技术方案，包括问题定义、算法设计、数学推导、实验验证等","仅保留为已排除赛题的消歧证据","不得替代或混入AI+能源技术报告约束",HIGH,VERIFIED
R054,dataset,"备选算法模型创新评分明确允许公开数据集或实际数据",OPTIONAL,review,"算法创新赛—算法模型创新","算法模型创新赛题规则","全球校园人工智能算法精英大赛组委会",official_web,https://www.aicomp.cn/tracks/tracks-2/3788.html,2026-05-06,2026-05-06,2026-09-01,"2026-05-06","使用公开数据集或实际数据进行充分测试","BDG2 属公开数据集范畴，但仍须授权与引用","公开数据政策与 AI+能源相容",HIGH,VERIFIED
R055,reproducibility,"已排除赛题允许提供开源代码或可复现实验环境配置说明以保证可验证性",RECOMMENDED,submission,"NOT APPLICABLE—算法创新赛—算法模型创新","算法模型创新赛题规则","全球校园人工智能算法精英大赛组委会",official_web,https://www.aicomp.cn/tracks/tracks-2/3788.html,2026-05-06,2026-05-06,2026-09-01,"2026-05-06","可提供开源代码或可复现的实验环境配置说明","仅保留为已排除赛题的消歧证据","AI+能源的强制复现条款优先且唯一适用",HIGH,VERIFIED
