slide_number,slide_title,element_type,claim_text,claim_id,numeric_metric_ids,figure_ids,source_phase,evidence_source,traceability_status,wording_status,notes
20,逐建筑权重来自预先声明的 Validation 搜索,highlighted_number_or_table,Visible quantitative evidence,CORE-03;BACK-04,WEIGHT_HOG_OFFICE_ROLANDO_W_FORECAST;WEIGHT_HOG_OFFICE_ROLANDO_W_DECISION;WEIGHT_HOG_OFFICE_LAVON_W_FORECAST;WEIGHT_HOG_OFFICE_LAVON_W_DECISION;WEIGHT_HOG_OFFICE_JOEY_W_FORECAST;WEIGHT_HOG_OFFICE_JOEY_W_DECISION;WEIGHT_LAMB_OFFICE_CAITLIN_W_FORECAST;WEIGHT_LAMB_OFFICE_CAITLIN_W_DECISION;WEIGHT_ROBIN_OFFICE_ADDIE_W_FORECAST;WEIGHT_ROBIN_OFFICE_ADDIE_W_DECISION;WEIGHT_LAMB_OFFICE_GERARDO_W_FORECAST;WEIGHT_LAMB_OFFICE_GERARDO_W_DECISION;WEIGHT_HOG_OFFICE_ALEXIS_W_FORECAST;WEIGHT_HOG_OFFICE_ALEXIS_W_DECISION;WEIGHT_HOG_OFFICE_BYRON_W_FORECAST;WEIGHT_HOG_OFFICE_BYRON_W_DECISION;WEIGHT_CANDIDATE_COUNT,,canonical numeric registry,outputs/phase8/selected_weights.csv,PASS,PASS,Every listed number is mapped to numeric_evidence_registry.csv.
21,冻结 bootstrap 支持固定八栋建筑范围内的差异,title,冻结 bootstrap 支持固定八栋建筑范围内的差异,,,,13.2,outputs/phase13_2/slide_architecture.json,NON_SCIENTIFIC,PASS,Slide title/section navigation inventory.
21,冻结 bootstrap 支持固定八栋建筑范围内的差异,major_claim,以建筑为重采样单位的冻结 bootstrap 区间仍位于 0 以下。,SUP-04,BOOTSTRAP_RESAMPLES;BOOTSTRAP_POINT_ESTIMATE;BOOTSTRAP_CI95_LOWER;BOOTSTRAP_CI95_UPPER,,5.7/7/8/9/9.1/12/13.1 as mapped,outputs/phase9_1/final_reporting_summary.json,PASS_WITH_QUALIFICATION,PASS_WITH_QUALIFICATION,Visible PPTX wording audited against canonical source; normal display rounding accepted.
21,冻结 bootstrap 支持固定八栋建筑范围内的差异,highlighted_number_or_table,Visible quantitative evidence,SUP-04,BOOTSTRAP_RESAMPLES;BOOTSTRAP_POINT_ESTIMATE;BOOTSTRAP_CI95_LOWER;BOOTSTRAP_CI95_UPPER,,canonical numeric registry,outputs/phase9_1/final_reporting_summary.json,PASS,PASS,Every listed number is mapped to numeric_evidence_registry.csv.
22,报告公式与冻结预测逐值一致,title,报告公式与冻结预测逐值一致,,,,13.2,outputs/phase13_2/slide_architecture.json,NON_SCIENTIFIC,PASS,Slide title/section navigation inventory.
22,报告公式与冻结预测逐值一致,major_claim,"DOEF v1.0 公式对 5,760 个冻结预测实现零差异复现。",SUP-05;BACK-05,PREDICTION_IDENTITY_SAMPLES;PREDICTION_IDENTITY_MAX_DELTA,,5.7/7/8/9/9.1/12/13.1 as mapped,outputs/phase9_1/doef_prediction_invariance.json,PASS_WITH_QUALIFICATION,PASS_WITH_QUALIFICATION,Visible PPTX wording audited against canonical source; normal display rounding accepted.
22,报告公式与冻结预测逐值一致,highlighted_number_or_table,Visible quantitative evidence,SUP-05;BACK-05,PREDICTION_IDENTITY_SAMPLES;PREDICTION_IDENTITY_MAX_DELTA,,canonical numeric registry,outputs/phase9_1/doef_prediction_invariance.json,PASS,PASS,Every listed number is mapped to numeric_evidence_registry.csv.
23,负结果被保留，但不用于 Test 后反向改选算法,title,负结果被保留，但不用于 Test 后反向改选算法,,,,13.2,outputs/phase13_2/slide_architecture.json,NON_SCIENTIFIC,PASS,Slide title/section navigation inventory.
23,负结果被保留，但不用于 Test 后反向改选算法,major_claim,稳健优化实验是负结果：Test mean regret 由 11.1274 kW 恶化至 20.4635 kW。,BACK-01;SUP-08,ROBUST_SELECTED_LAMBDA;ROBUST_TEST_MEAN_REGRET;DETERMINISTIC_TEST_MEAN_REGRET,,5.7/7/8/9/9.1/12/13.1 as mapped,outputs/phase5_7/summary.json,PASS_WITH_QUALIFICATION,PASS_WITH_QUALIFICATION,Visible PPTX wording audited against canonical source; normal display rounding accepted.
23,负结果被保留，但不用于 Test 后反向改选算法,highlighted_number_or_table,Visible quantitative evidence,BACK-01;SUP-08,ROBUST_SELECTED_LAMBDA;ROBUST_TEST_MEAN_REGRET;DETERMINISTIC_TEST_MEAN_REGRET,,canonical numeric registry,outputs/phase5_7/summary.json,PASS,PASS,Every listed number is mapped to numeric_evidence_registry.csv.
